param_a,param_b,CV_num,tn,fp,fn,tp,file_name
25.0,5.0,0.0,24.0,1.0,0.0,14.0,exps_lab0_p1_conf_A_CV_8_rule_15_var_per_rule_4.ftt
25.0,5.0,1.0,22.0,1.0,1.0,14.0,exps_lab0_p1_conf_A_CV_4_rule_15_var_per_rule_4.ftt
25.0,5.0,2.0,26.0,0.0,1.0,11.0,exps_lab0_p1_conf_A_CV_3_rule_25_var_per_rule_2.ftt
25.0,5.0,3.0,21.0,1.0,0.0,16.0,exps_lab0_p1_conf_A_CV_2_rule_20_var_per_rule_5.ftt
25.0,5.0,4.0,21.0,1.0,3.0,13.0,exps_lab0_p1_conf_A_CV_2_rule_20_var_per_rule_4.ftt
25.0,5.0,5.0,26.0,1.0,1.0,10.0,exps_lab0_p1_conf_A_CV_4_rule_15_var_per_rule_5.ftt
25.0,5.0,6.0,20.0,1.0,1.0,16.0,exps_lab0_p1_conf_A_CV_3_rule_25_var_per_rule_3.ftt
25.0,5.0,7.0,18.0,3.0,0.0,17.0,exps_lab0_p1_conf_A_CV_8_rule_15_var_per_rule_5.ftt
25.0,5.0,8.0,29.0,1.0,1.0,7.0,exps_lab0_p1_conf_A_CV_3_rule_15_var_per_rule_3.ftt
25.0,5.0,9.0,21.0,1.0,1.0,15.0,exps_lab0_p1_conf_A_CV_4_rule_25_var_per_rule_5.ftt
25.0,4.0,0.0,23.0,2.0,1.0,13.0,exps_lab0_p1_conf_A_CV_8_rule_25_var_per_rule_5.ftt
25.0,4.0,1.0,22.0,1.0,2.0,13.0,exps_lab0_p1_conf_A_CV_5_rule_20_var_per_rule_2.ftt
25.0,4.0,2.0,25.0,1.0,0.0,12.0,exps_lab0_p1_conf_A_CV_9_rule_20_var_per_rule_2.ftt
25.0,4.0,3.0,22.0,0.0,1.0,15.0,exps_lab0_p1_conf_A_CV_9_rule_20_var_per_rule_3.ftt
25.0,4.0,4.0,21.0,1.0,6.0,10.0,exps_lab0_p1_conf_A_CV_5_rule_20_var_per_rule_3.ftt
25.0,4.0,5.0,25.0,2.0,1.0,10.0,exps_lab0_p1_conf_A_CV_8_rule_25_var_per_rule_4.ftt
25.0,4.0,6.0,18.0,3.0,2.0,15.0,exps_lab0_p1_conf_A_CV_3_rule_15_var_per_rule_2.ftt
25.0,4.0,7.0,21.0,0.0,1.0,16.0,exps_lab0_p1_conf_A_CV_4_rule_25_var_per_rule_4.ftt
25.0,4.0,8.0,27.0,3.0,1.0,7.0,exps_lab0_p1_conf_A_CV_8_rule_15_var_per_rule_2.ftt
25.0,4.0,9.0,22.0,0.0,2.0,14.0,exps_lab0_p1_conf_A_CV_4_rule_15_var_per_rule_2.ftt
25.0,3.0,0.0,25.0,0.0,1.0,13.0,exps_lab0_p1_conf_A_CV_3_rule_25_var_per_rule_4.ftt
25.0,3.0,1.0,21.0,2.0,1.0,14.0,exps_lab0_p1_conf_A_CV_2_rule_20_var_per_rule_3.ftt
25.0,3.0,2.0,26.0,0.0,0.0,12.0,exps_lab0_p1_conf_A_CV_2_rule_20_var_per_rule_2.ftt
25.0,3.0,3.0,22.0,0.0,0.0,16.0,exps_lab0_p1_conf_A_CV_4_rule_15_var_per_rule_3.ftt
25.0,3.0,4.0,22.0,0.0,5.0,11.0,exps_lab0_p1_conf_A_CV_3_rule_25_var_per_rule_5.ftt
25.0,3.0,5.0,27.0,0.0,1.0,10.0,exps_lab0_p1_conf_A_CV_8_rule_15_var_per_rule_3.ftt
25.0,3.0,6.0,20.0,1.0,1.0,16.0,exps_lab0_p1_conf_A_CV_3_rule_15_var_per_rule_5.ftt
25.0,3.0,7.0,19.0,2.0,0.0,17.0,exps_lab0_p1_conf_A_CV_4_rule_25_var_per_rule_3.ftt
25.0,3.0,8.0,29.0,1.0,1.0,7.0,exps_lab0_p1_conf_A_CV_8_rule_25_var_per_rule_3.ftt
25.0,3.0,9.0,22.0,0.0,2.0,14.0,exps_lab0_p1_conf_A_CV_5_rule_20_var_per_rule_4.ftt
25.0,2.0,0.0,25.0,0.0,0.0,14.0,exps_lab0_p1_conf_A_CV_9_rule_20_var_per_rule_4.ftt
25.0,2.0,1.0,23.0,0.0,1.0,14.0,exps_lab0_p1_conf_A_CV_9_rule_20_var_per_rule_5.ftt
25.0,2.0,2.0,26.0,0.0,0.0,12.0,exps_lab0_p1_conf_A_CV_5_rule_20_var_per_rule_5.ftt
25.0,2.0,3.0,21.0,1.0,0.0,16.0,exps_lab0_p1_conf_A_CV_8_rule_25_var_per_rule_2.ftt
25.0,2.0,4.0,21.0,1.0,2.0,14.0,exps_lab0_p1_conf_A_CV_3_rule_15_var_per_rule_4.ftt
25.0,2.0,5.0,25.0,2.0,1.0,10.0,exps_lab0_p1_conf_A_CV_4_rule_25_var_per_rule_2.ftt
25.0,2.0,6.0,19.0,2.0,1.0,16.0,exps_lab0_p1_conf_A_CV_3_rule_20_var_per_rule_3.ftt
25.0,2.0,7.0,21.0,0.0,0.0,17.0,exps_lab0_p1_conf_A_CV_9_rule_15_var_per_rule_2.ftt
25.0,2.0,8.0,28.0,2.0,1.0,7.0,exps_lab0_p1_conf_A_CV_2_rule_25_var_per_rule_4.ftt
25.0,2.0,9.0,20.0,2.0,2.0,14.0,exps_lab0_p1_conf_A_CV_5_rule_15_var_per_rule_2.ftt
20.0,5.0,0.0,25.0,0.0,1.0,13.0,exps_lab0_p1_conf_A_CV_2_rule_25_var_per_rule_5.ftt
20.0,5.0,1.0,22.0,1.0,1.0,14.0,exps_lab0_p1_conf_A_CV_5_rule_15_var_per_rule_3.ftt
20.0,5.0,2.0,24.0,2.0,0.0,12.0,exps_lab0_p1_conf_A_CV_9_rule_15_var_per_rule_3.ftt
20.0,5.0,3.0,21.0,1.0,1.0,15.0,exps_lab0_p1_conf_A_CV_3_rule_20_var_per_rule_2.ftt
20.0,5.0,4.0,21.0,1.0,5.0,11.0,exps_lab0_p1_conf_A_CV_4_rule_20_var_per_rule_4.ftt
20.0,5.0,5.0,26.0,1.0,1.0,10.0,exps_lab0_p1_conf_A_CV_8_rule_20_var_per_rule_4.ftt
20.0,5.0,6.0,20.0,1.0,3.0,14.0,exps_lab0_p1_conf_A_CV_5_rule_25_var_per_rule_3.ftt
20.0,5.0,7.0,21.0,0.0,1.0,16.0,exps_lab0_p1_conf_A_CV_2_rule_15_var_per_rule_5.ftt
20.0,5.0,8.0,30.0,0.0,0.0,8.0,exps_lab0_p1_conf_A_CV_9_rule_25_var_per_rule_3.ftt
20.0,5.0,9.0,22.0,0.0,3.0,13.0,exps_lab0_p1_conf_A_CV_9_rule_25_var_per_rule_2.ftt
20.0,4.0,0.0,24.0,1.0,1.0,13.0,exps_lab0_p1_conf_A_CV_5_rule_25_var_per_rule_2.ftt
20.0,4.0,1.0,23.0,0.0,3.0,12.0,exps_lab0_p1_conf_A_CV_2_rule_15_var_per_rule_4.ftt
20.0,4.0,2.0,26.0,0.0,0.0,12.0,exps_lab0_p1_conf_A_CV_8_rule_20_var_per_rule_5.ftt
20.0,4.0,3.0,22.0,0.0,0.0,16.0,exps_lab0_p1_conf_A_CV_4_rule_20_var_per_rule_5.ftt
20.0,4.0,4.0,21.0,1.0,3.0,13.0,exps_lab0_p1_conf_A_CV_3_rule_20_var_per_rule_5.ftt
20.0,4.0,5.0,24.0,3.0,2.0,9.0,exps_lab0_p1_conf_A_CV_9_rule_15_var_per_rule_4.ftt
20.0,4.0,6.0,20.0,1.0,1.0,16.0,exps_lab0_p1_conf_A_CV_2_rule_25_var_per_rule_2.ftt
20.0,4.0,7.0,20.0,1.0,1.0,16.0,exps_lab0_p1_conf_A_CV_5_rule_15_var_per_rule_4.ftt
20.0,4.0,8.0,29.0,1.0,1.0,7.0,exps_lab0_p1_conf_A_CV_2_rule_25_var_per_rule_3.ftt
20.0,4.0,9.0,22.0,0.0,4.0,12.0,exps_lab0_p1_conf_A_CV_5_rule_15_var_per_rule_5.ftt
20.0,3.0,0.0,25.0,0.0,1.0,13.0,exps_lab0_p1_conf_A_CV_9_rule_15_var_per_rule_5.ftt
20.0,3.0,1.0,22.0,1.0,2.0,13.0,exps_lab0_p1_conf_A_CV_3_rule_20_var_per_rule_4.ftt
20.0,3.0,2.0,26.0,0.0,0.0,12.0,exps_lab0_p1_conf_A_CV_4_rule_20_var_per_rule_2.ftt
20.0,3.0,3.0,22.0,0.0,1.0,15.0,exps_lab0_p1_conf_A_CV_8_rule_20_var_per_rule_2.ftt
20.0,3.0,4.0,21.0,1.0,5.0,11.0,exps_lab0_p1_conf_A_CV_5_rule_25_var_per_rule_5.ftt
20.0,3.0,5.0,26.0,1.0,1.0,10.0,exps_lab0_p1_conf_A_CV_2_rule_15_var_per_rule_3.ftt
20.0,3.0,6.0,21.0,0.0,2.0,15.0,exps_lab0_p1_conf_A_CV_9_rule_25_var_per_rule_5.ftt
20.0,3.0,7.0,20.0,1.0,0.0,17.0,exps_lab0_p1_conf_A_CV_9_rule_25_var_per_rule_4.ftt
20.0,3.0,8.0,30.0,0.0,1.0,7.0,exps_lab0_p1_conf_A_CV_5_rule_25_var_per_rule_4.ftt
20.0,3.0,9.0,22.0,0.0,2.0,14.0,exps_lab0_p1_conf_A_CV_2_rule_15_var_per_rule_2.ftt
20.0,2.0,0.0,24.0,1.0,1.0,13.0,exps_lab0_p1_conf_A_CV_8_rule_20_var_per_rule_3.ftt
20.0,2.0,1.0,20.0,3.0,2.0,13.0,exps_lab0_p1_conf_A_CV_4_rule_20_var_per_rule_3.ftt
20.0,2.0,2.0,25.0,1.0,0.0,12.0,exps_lab0_p1_conf_A_CV_7_rule_15_var_per_rule_3.ftt
20.0,2.0,3.0,21.0,1.0,0.0,16.0,exps_lab0_p1_conf_A_CV_0_rule_25_var_per_rule_5.ftt
20.0,2.0,4.0,22.0,0.0,3.0,13.0,exps_lab0_p1_conf_A_CV_1_rule_20_var_per_rule_2.ftt
20.0,2.0,5.0,26.0,1.0,1.0,10.0,exps_lab0_p1_conf_A_CV_1_rule_20_var_per_rule_3.ftt
20.0,2.0,6.0,20.0,1.0,2.0,15.0,exps_lab0_p1_conf_A_CV_7_rule_15_var_per_rule_2.ftt
20.0,2.0,7.0,20.0,1.0,2.0,15.0,exps_lab0_p1_conf_A_CV_0_rule_25_var_per_rule_4.ftt
20.0,2.0,8.0,27.0,3.0,0.0,8.0,exps_lab0_p1_conf_A_CV_0_rule_15_var_per_rule_4.ftt
20.0,2.0,9.0,22.0,0.0,2.0,14.0,exps_lab0_p1_conf_A_CV_7_rule_25_var_per_rule_2.ftt
15.0,5.0,0.0,21.0,4.0,0.0,14.0,exps_lab0_p1_conf_A_CV_6_rule_20_var_per_rule_5.ftt
15.0,5.0,1.0,23.0,0.0,2.0,13.0,exps_lab0_p1_conf_A_CV_6_rule_20_var_per_rule_4.ftt
15.0,5.0,2.0,26.0,0.0,0.0,12.0,exps_lab0_p1_conf_A_CV_0_rule_15_var_per_rule_5.ftt
15.0,5.0,3.0,21.0,1.0,0.0,16.0,exps_lab0_p1_conf_A_CV_7_rule_25_var_per_rule_3.ftt
15.0,5.0,4.0,21.0,1.0,2.0,14.0,exps_lab0_p1_conf_A_CV_7_rule_15_var_per_rule_5.ftt
15.0,5.0,5.0,26.0,1.0,2.0,9.0,exps_lab0_p1_conf_A_CV_0_rule_25_var_per_rule_3.ftt
15.0,5.0,6.0,19.0,2.0,1.0,16.0,exps_lab0_p1_conf_A_CV_1_rule_20_var_per_rule_4.ftt
15.0,5.0,7.0,20.0,1.0,0.0,17.0,exps_lab0_p1_conf_A_CV_1_rule_20_var_per_rule_5.ftt
15.0,5.0,8.0,28.0,2.0,0.0,8.0,exps_lab0_p1_conf_A_CV_7_rule_15_var_per_rule_4.ftt
15.0,5.0,9.0,22.0,0.0,2.0,14.0,exps_lab0_p1_conf_A_CV_0_rule_25_var_per_rule_2.ftt
15.0,4.0,0.0,24.0,1.0,0.0,14.0,exps_lab0_p1_conf_A_CV_0_rule_15_var_per_rule_2.ftt
15.0,4.0,1.0,22.0,1.0,1.0,14.0,exps_lab0_p1_conf_A_CV_7_rule_25_var_per_rule_4.ftt
15.0,4.0,2.0,26.0,0.0,0.0,12.0,exps_lab0_p1_conf_A_CV_6_rule_20_var_per_rule_3.ftt
15.0,4.0,3.0,21.0,1.0,0.0,16.0,exps_lab0_p1_conf_A_CV_6_rule_20_var_per_rule_2.ftt
15.0,4.0,4.0,21.0,1.0,2.0,14.0,exps_lab0_p1_conf_A_CV_0_rule_15_var_per_rule_3.ftt
15.0,4.0,5.0,27.0,0.0,1.0,10.0,exps_lab0_p1_conf_A_CV_7_rule_25_var_per_rule_5.ftt
15.0,4.0,6.0,18.0,3.0,1.0,16.0,exps_lab0_p1_conf_A_CV_0_rule_20_var_per_rule_4.ftt
15.0,4.0,7.0,19.0,2.0,1.0,16.0,exps_lab0_p1_conf_A_CV_1_rule_25_var_per_rule_3.ftt
15.0,4.0,8.0,28.0,2.0,1.0,7.0,exps_lab0_p1_conf_A_CV_6_rule_15_var_per_rule_5.ftt
15.0,4.0,9.0,22.0,0.0,3.0,13.0,exps_lab0_p1_conf_A_CV_1_rule_25_var_per_rule_2.ftt
15.0,3.0,0.0,24.0,1.0,1.0,13.0,exps_lab0_p1_conf_A_CV_6_rule_15_var_per_rule_4.ftt
15.0,3.0,1.0,23.0,0.0,2.0,13.0,exps_lab0_p1_conf_A_CV_0_rule_20_var_per_rule_5.ftt
15.0,3.0,2.0,26.0,0.0,0.0,12.0,exps_lab0_p1_conf_A_CV_7_rule_20_var_per_rule_3.ftt
15.0,3.0,3.0,22.0,0.0,0.0,16.0,exps_lab0_p1_conf_A_CV_6_rule_25_var_per_rule_4.ftt
15.0,3.0,4.0,20.0,2.0,2.0,14.0,exps_lab0_p1_conf_A_CV_1_rule_15_var_per_rule_2.ftt
15.0,3.0,5.0,26.0,1.0,0.0,11.0,exps_lab0_p1_conf_A_CV_6_rule_25_var_per_rule_5.ftt
15.0,3.0,6.0,19.0,2.0,0.0,17.0,exps_lab0_p1_conf_A_CV_1_rule_15_var_per_rule_3.ftt
15.0,3.0,7.0,19.0,2.0,2.0,15.0,exps_lab0_p1_conf_A_CV_7_rule_20_var_per_rule_2.ftt
15.0,3.0,8.0,29.0,1.0,1.0,7.0,exps_lab0_p1_conf_A_CV_0_rule_20_var_per_rule_2.ftt
15.0,3.0,9.0,22.0,0.0,3.0,13.0,exps_lab0_p1_conf_A_CV_1_rule_25_var_per_rule_5.ftt
15.0,2.0,0.0,23.0,2.0,0.0,14.0,exps_lab0_p1_conf_A_CV_6_rule_15_var_per_rule_3.ftt
15.0,2.0,1.0,21.0,2.0,1.0,14.0,exps_lab0_p1_conf_A_CV_1_rule_25_var_per_rule_4.ftt
15.0,2.0,2.0,25.0,1.0,0.0,12.0,exps_lab0_p1_conf_A_CV_6_rule_15_var_per_rule_2.ftt
15.0,2.0,3.0,21.0,1.0,0.0,16.0,exps_lab0_p1_conf_A_CV_0_rule_20_var_per_rule_3.ftt
15.0,2.0,4.0,21.0,1.0,6.0,10.0,exps_lab0_p1_conf_A_CV_7_rule_20_var_per_rule_5.ftt
15.0,2.0,5.0,26.0,1.0,1.0,10.0,exps_lab0_p1_conf_A_CV_6_rule_25_var_per_rule_2.ftt
15.0,2.0,6.0,20.0,1.0,1.0,16.0,exps_lab0_p1_conf_A_CV_1_rule_15_var_per_rule_4.ftt
15.0,2.0,7.0,21.0,0.0,0.0,17.0,exps_lab0_p1_conf_A_CV_6_rule_25_var_per_rule_3.ftt
15.0,2.0,8.0,29.0,1.0,2.0,6.0,exps_lab0_p1_conf_A_CV_1_rule_15_var_per_rule_5.ftt
15.0,2.0,9.0,22.0,0.0,3.0,13.0,exps_lab0_p1_conf_A_CV_7_rule_20_var_per_rule_4.ftt
